ward_id,ward_name,population_total,population_under_five,households,exposure_type,exposure_value,unit,truth_class,source_kind,freshness_state,aggregation_method,spatial_resolution,source_ref,notes
1549,God Jope,,,,settlement_concentration,0.34,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1549,God Jope,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1549,God Jope,,,,water_body_proximity,0.259,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1549,God Jope,,,,wash_vulnerability,0.274,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1549,God Jope,,,,exposed_population_proxy,163.9,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1579,Gokeharaka/Getambwega,7182,995,1632,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1579,Gokeharaka/Getambwega,,,,population_density,229.3,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1579,Gokeharaka/Getambwega,,,,settlement_concentration,0.301,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1579,Gokeharaka/Getambwega,,,,floodplain_exposure,0.224,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1579,Gokeharaka/Getambwega,,,,water_body_proximity,0.292,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1579,Gokeharaka/Getambwega,,,,wash_vulnerability,0.322,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1579,Gokeharaka/Getambwega,,,,exposed_population_proxy,217.6,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
4,Got Kachola,7704,1075,1751,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
4,Got Kachola,,,,population_density,256.6,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
4,Got Kachola,,,,settlement_concentration,0.349,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
4,Got Kachola,,,,floodplain_exposure,0.253,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
4,Got Kachola,,,,water_body_proximity,0.339,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
4,Got Kachola,,,,wash_vulnerability,0.312,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
4,Got Kachola,,,,exposed_population_proxy,255.4,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1573,Isibania,7446,1028,1692,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1573,Isibania,,,,population_density,221.9,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1573,Isibania,,,,settlement_concentration,0.34,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1573,Isibania,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1573,Isibania,,,,water_body_proximity,0.319,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1573,Isibania,,,,wash_vulnerability,0.309,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1573,Isibania,,,,exposed_population_proxy,202.0,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1565,Kachien'G,7656,1057,1740,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1565,Kachien'G,,,,population_density,224.4,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1565,Kachien'G,,,,settlement_concentration,0.29,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1565,Kachien'G,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1565,Kachien'G,,,,water_body_proximity,0.259,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1565,Kachien'G,,,,wash_vulnerability,0.274,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1565,Kachien'G,,,,exposed_population_proxy,184.1,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1552,Kakrao,7866,1086,1788,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1552,Kakrao,,,,population_density,226.9,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1552,Kakrao,,,,settlement_concentration,0.315,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1552,Kakrao,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1552,Kakrao,,,,water_body_proximity,0.279,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1552,Kakrao,,,,wash_vulnerability,0.309,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1552,Kakrao,,,,exposed_population_proxy,213.4,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1568,Kaler,8232,1140,1871,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1568,Kaler,,,,population_density,241.8,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1568,Kaler,,,,settlement_concentration,0.351,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1568,Kaler,,,,floodplain_exposure,0.224,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1568,Kaler,,,,water_body_proximity,0.312,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1568,Kaler,,,,wash_vulnerability,0.287,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1568,Kaler,,,,exposed_population_proxy,222.3,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1566,Kanyasa,8286,1143,1883,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1566,Kanyasa,,,,population_density,231.9,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1566,Kanyasa,,,,settlement_concentration,0.29,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1566,Kanyasa,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1566,Kanyasa,,,,water_body_proximity,0.319,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1566,Kanyasa,,,,wash_vulnerability,0.309,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1566,Kanyasa,,,,exposed_population_proxy,224.7,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1553,Kwa,8496,1172,1931,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1553,Kwa,,,,population_density,234.4,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1553,Kwa,,,,settlement_concentration,0.315,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1553,Kwa,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1553,Kwa,,,,water_body_proximity,0.259,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1553,Kwa,,,,wash_vulnerability,0.274,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1553,Kwa,,,,exposed_population_proxy,204.3,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1567,Macalder/Kanyarwanda,9720,1373,2209,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1567,Macalder/Kanyarwanda,,,,population_density,317.5,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1567,Macalder/Kanyarwanda,,,,settlement_concentration,0.415,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1567,Macalder/Kanyarwanda,,,,floodplain_exposure,0.305,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1567,Macalder/Kanyarwanda,,,,water_body_proximity,0.365,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1567,Macalder/Kanyarwanda,,,,wash_vulnerability,0.39,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1567,Macalder/Kanyarwanda,,,,exposed_population_proxy,485.6,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1574,Makerero,8916,1230,2026,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1574,Makerero,,,,population_density,239.4,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1574,Makerero,,,,settlement_concentration,0.29,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1574,Makerero,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1574,Makerero,,,,water_body_proximity,0.299,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1574,Makerero,,,,wash_vulnerability,0.274,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1574,Makerero,,,,exposed_population_proxy,214.4,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1575,Masaba,9282,1286,2110,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1575,Masaba,,,,population_density,254.3,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1575,Masaba,,,,settlement_concentration,0.326,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1575,Masaba,,,,floodplain_exposure,0.224,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1575,Masaba,,,,water_body_proximity,0.332,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1575,Masaba,,,,wash_vulnerability,0.322,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1575,Masaba,,,,exposed_population_proxy,281.2,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1569,Muhuru,9336,1288,2122,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
1569,Muhuru,,,,population_density,244.4,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1569,Muhuru,,,,settlement_concentration,0.34,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1569,Muhuru,,,,floodplain_exposure,0.209,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1569,Muhuru,,,,water_body_proximity,0.259,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1569,Muhuru,,,,wash_vulnerability,0.274,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
1569,Muhuru,,,,exposed_population_proxy,224.5,people_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
2,North Kadem,10287,1444,2338,,,,seeded_demo,seeded,fresh,,,seed-e2e:2026-05-05,Seeded ward population baseline for non-production e2e testing.
2,North Kadem,,,,population_density,305.8,people_per_km2_proxy,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
2,North Kadem,,,,settlement_concentration,0.345,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
2,North Kadem,,,,floodplain_exposure,0.279,index,seeded_demo,seeded,fresh,deterministic_context_aligned_seed_profile,ward,seed-e2e:2026-05-05,Seeded exposure proxy for non-production e2e testing.
